,strategy,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,period
0,original,0.4975784247,-0.8221245546,0.5678120007,0.9985098247,1.467342419,0.4275490569,1.163792591,0.6052348417,0.6999582273,0.3000417727,69,3.525671604,0.03810910744,78.66689969,14,0.2058823529,1333,62.05555556,54,522,1333,전체기간
1,improved,0.6303870448,-0.6295798235,0.5304448945,1.189703595,1.782018465,0.3563001017,1.769258672,1.001282159,0.6038526398,0.3961473602,98,3.526387958,0.03811685053,197.0868993,15,0.1546391753,1063,52.95238095,63,522,1063,전체기간
2,confirm2,0.6334374705,-0.6408449585,0.5330073349,1.190004661,1.783499205,0.3620746449,1.749466524,0.9884410606,0.6038222879,0.3961777121,96,3.431033207,0.0370861577,201.1094656,15,0.1578947368,1307,57.64516129,62,283,1307,전체기간
3,buffer1,0.6274838394,-0.6444489126,0.5315897002,1.184951427,1.773449706,0.3646175147,1.720937185,0.973675069,0.6108009105,0.3891990895,94,3.107067222,0.03358439807,193.3264293,9,0.09677419355,1065,54.98461538,65,283,1065,전체기간
4,confirm2_buffer1,0.6657271747,-0.6420983149,0.5307906667,1.229750482,1.845753825,0.3455217061,1.926730399,1.036799442,0.608496667,0.391503333,90,3.018352511,0.03262547765,248.4986169,7,0.07865168539,1056,52,64,522,1056,전체기간
5,weekly,0.610694447,-0.6577031317,0.539387529,1.156498469,1.725128305,0.3675442818,1.661553389,0.9285259831,0.6083379199,0.3916620801,85,3.363773732,0.03635914769,172.8273568,10,0.119047619,1308,54.72131148,61,522,1308,전체기간
6,hybrid_score,0.6325850846,-0.6251151391,0.5251551343,1.198848869,1.800916808,0.3356486277,1.884664594,1.011949711,0.5987575108,0.4012424892,256,6.059120202,0.06549324177,199.9779985,130,0.5098039216,1051,53.34328358,67,283,1051,전체기간
7,hybrid_score_conservative,0.6200653774,-0.6353263202,0.5223279448,1.187737275,1.785153762,0.3367191431,1.841491314,0.9759793632,0.5722475073,0.4277524927,162,5.157908601,0.05575201412,184.0113228,75,0.4658385093,1050,54.16666667,66,283,1050,전체기간
8,buy_hold,0.6795679535,-0.8378314303,0.6680016029,1.11290557,1.649646693,0.4254269415,1.597378744,0.8111034379,1,0,1,0.09242277479,0.000999000999,271.7493407,0,0,1080,46.20512821,78,229,1080,전체기간
9,weekly_price,0.6080692432,-0.767290079,0.531535537,1.158461246,1.770218054,0.358355875,1.69683068,0.7924893854,0.615248227,0.384751773,51,4.715872084,0.05097402597,169.8068459,18,0.36,1055,51.79710145,69,283,1055,전체기간
10,monthly_10m,0.7145128207,-0.7289900897,0.5691140076,1.230844164,1.88584523,0.3595928374,1.987005153,0.9801406505,0.7170719352,0.2829280648,14,1.294565807,0.01399300699,339.4965768,0,0,1105,40.43820225,89,229,1105,전체기간
11,weekly_price_vol,0.437148845,-0.4151333624,0.3469013316,1.218405538,1.879967354,0.2010903748,2.173892438,1.053032313,0.4405455769,0.5594544231,324,4.777834941,0.05164378466,50.4013206,121,0.3746130031,1037,41.26744186,86,283,1037,전체기간
12,original,0.7492186567,-0.3133080623,0.5074728329,1.358753344,1.963898711,0.1614969803,4.639211551,2.391316238,0.751763045,0.248236955,15,5.9280216,0.008407159997,2.210055259,2,0.1428571429,189,41.83333333,12,3,189,초기 관측 2015–2016
